product_name,category,description,price,company
Johnny Morris CarbonLite Casting Rod,Fishing,"Looking for a competitive edge? Look no further than Bass Pro Shops® Johnny Morris CarbonLite™ 2.0 Casting Rod. They're built with Carbon Coil Technology™, an advanced construction process that creates a double-helix configuration of materials for structural reinforcement. Made with RT4 Graphite, developed for the avid tournament angler, rod blanks are light and also very sensitive, so anglers can use them with confidence—even with a win on the line.",119.99,Bass Pro
Pro Qualifier 2 Casting Rod,Fishing,"The Bass Pro Shops® Pro Qualifier® 2 Casting Rod is constructed using our exclusive RT3™ graphite with Powerwall™ construction. This construction process creates strong, structurally enhanced rod blanks all with reduced wall thickness.",99.99,Bass Pro
Crankin' Stick Split-Grip Casting Rod,Fishing,"The Bass Pro Shops® Crankin' Stick™ Split-Grip EVA Casting Rod is made with our exclusive Shok Flex Technology, a graphite and fiberglass hybridization, resulting in fishing rods with the sensitive feel of graphite, while offering the shock absorption benefits and power of glass.",79.99,Bass Pro
GX2 Casting Rod,Fishing,"The Ugly Stik® GX2 Casting Rod retains all the strength and reliability that the brand is known for, while adding new features that improve performance and durability even more! Its unique Ugly Tech™ construction combines fiberglass and graphite in exactly the right proportions to yield a blank that is sensitive, lightweight, and virtually unbreakable.",39.99,Ugly Stik
Motive Fly Rod,Fishing,"The 4-piece Sage® Motive™ Fly Rod is ideal for those experienced saltwater anglers and even beginners who are intent on chasing those hard-fighting species without emptying their checking account. Constructed of premium materials, the Sage Motive Fly Rod features a powerful but smooth fast action that loads quickly to deliver heavy saltwater flies with uncanny accuracy.",350.00,Sage
Pulse Fly Rod,Fishing,"The well-travelled fly angler needs a fast-action rod that can handle a multitude of situations, and that's where the Sage® Pulse Fly Rod really shines. Built on a super-responsive Graphite IIIe blank, this rod loads quickly and can shoot for distance even in a light gale.",315.00,Sage
Predator Fly Rod,Fishing,"Designed to perform in both fresh- and saltwater, the Redington® Predator Fly Rod series can easily handle any fly fishing assignment, from delicate casting on gin-clear, knee-deep flats to pitching big flies and heavy line between breezy canyon walls. Its lightweight 4-piece blank balances beautifully in your hand, with an intuitively fast action and the power to tame whatever you connect with.",299.99,Redington
Vice Fly Rod,Fishing,"If you like the heft of a classic fly rod, the 4-piece Redington® Vice Fly Rod is your stick. It offers the proportions you prefer, but with the modern materials and performance characteristics that make fly fishing more satisfying than ever. Advanced features include a handsome multi-modulus carbon fiber blank with an action somewhere between ""moderately fast"" and ""fast,"" for easy casting with high-level recovery, accuracy, and control; an anodized machined-aluminum reel seat; and black anodized snake guides for smooth line flow and a stealthy approach.",149.97,Redington
Clearwater Fly Rod,Fishing,"We've overhauled our hardest-working series from top to bottom. In addition to speeding up the actions, we've added models and freshened up the hardware and components on these White River Fly Shop® Classic Fly Rods. 8 standard models cover traditional lengths in the 3-8 weight range, and cover up to the 9' 8-weight size. If you like dry fly fishing, there are some ""blueprinters"" here.",250.00,Redington
Mini Carabiner,Camping,"Lightweight, sturdy and reliable.",1.99,McKinley
Catalyst 3 Person Tent,Camping,Sleeps 3. Quick setup and takedown.,339.99,Marmot
Easyrock 4 Person Tent,Camping,Sleeps 4. Quick setup and takedown.,299.99,McKinley
Tungsten 3 Person Tent,Camping,Sleeps 3. Quick setup and takedown.,369.99,Marmot
Hiker Sleeping Mat,Camping,Makes any camping spot comfortable.,79.95,Therm-A-Rest
FirePit Stove,Camping,Great for camping in the north. Warms up a large area very quickly.,269.95,BioLite
Radium Sleeping Bag,Camping,Good for sleeping down to -15 C.,179.99,McKinley
Midpines 4 Person Tent,Camping,Sleeps 4. Quick setup and takedown.,449.99,Marmot
Women's Trekking Poles,Camping,Great for hiking through rough terrain when balance is needed.,124.99,Black Diamond
Rambler 36 oz Bottle,Camping,Keeps cold drinks cold and hot drinks hot.,64.99,Yeti
Rambler 24 oz Bottle,Camping,Keeps cold drinks cold and hot drinks hot.,40.99,Yeti
